Gộp lịch csv Subject,Start Date,Start Time,End Date,End Time,Description,Location
Dự án thực tế: Xây dựng ứng dụng quản lý công việc,2025-09-18,19:00,2025-09-18,21:00,Xây dựng ứng dụng quản lý công việc với các tính năng như phân công, theo dõi tiến độ,https://asana.com/
Thực hành: Tối ưu hiệu suất API,2025-09-19,19:00,2025-09-19,21:00,Học cách tối ưu hóa hiệu suất của API để xử lý nhiều yêu cầu đồng thời,https://www.nginx.com/
Thực hành: Quản lý nhật ký và giám sát hệ thống,2025-09-20,19:00,2025-09-20,21:00,Học cách sử dụng các công cụ quản lý nhật ký và giám sát hệ thống (Log Management, Monitoring),https://www.elkstack.org/
Thực hành: Xây dựng hệ thống đăng ký và xác thực người dùng,2025-09-21,19:00,2025-09-21,21:00,Học cách xây dựng hệ thống đăng ký và xác thực người dùng với bảo mật,https://auth0.com/
Dự án thực tế: Xây dựng hệ thống e-commerce backend,2025-09-22,19:00,2025-09-22,21:00,Xây dựng backend cho hệ thống e-commerce với các tính năng như giỏ hàng, thanh toán,https://www.paypal.com/
Thực hành: Tích hợp API bên thứ ba,2025-09-23,19:00,2025-09-23,21:00,Học cách tích hợp các API bên thứ ba vào ứng dụng backend để mở rộng tính năng,https://rapidapi.com/
Thực hành: Cấu hình và tối ưu cơ sở dữ liệu SQL,2025-09-24,19:00,2025-09-24,21:00,Học cách tối ưu cơ sở dữ liệu SQL, bao gồm indexing và query optimization,https://www.mysql.com/
Dự án thực tế: Xây dựng API cho dịch vụ đặt vé,2025-09-25,19:00,2025-09-25,21:00,Xây dựng API cho một dịch vụ đặt vé với các tính năng như tìm kiếm, đặt vé, thanh toán,https://www.stripe.com/
Thực hành: Triển khai ứng dụng backend lên cloud,2025-09-26,19:00,2025-09-26,21:00,Học cách triển khai ứng dụng backend lên cloud (AWS, Azure, GCP),https://aws.amazon.com/
Dự án thực tế: Tối ưu API cho dịch vụ real-time,2025-09-27,19:00,2025-09-27,21:00,Tối ưu API cho dịch vụ real-time, giúp ứng dụng xử lý nhiều yêu cầu đồng thời,https://socket.io/
Thực hành: Quản lý API với API Gateway,2025-09-28,19:00,2025-09-28,21:00,Học cách quản lý và bảo mật API bằng API Gateway,https://konghq.com/
Dự án thực tế: Xây dựng hệ thống học trực tuyến,2025-09-29,19:00,2025-09-29,21:00,Xây dựng backend cho hệ thống học trực tuyến với các tính năng quản lý khóa học, học viên,https://www.zoom.us/
Thực hành: Xây dựng hệ thống thanh toán trực tuyến,2025-09-30,19:00,2025-09-30,21:00,Học cách xây dựng hệ thống thanh toán trực tuyến với các phương thức thanh toán khác nhau,https://www.stripe.com/
Thực hành: Tối ưu hóa hiệu suất ứng dụng backend,2025-10-01,19:00,2025-10-01,21:00,Học cách tối ưu hóa hiệu suất ứng dụng backend bằng cách giảm độ trễ và tăng tốc độ xử lý,https://www.nginx.com/
Dự án thực tế: Xây dựng hệ thống phân tích dữ liệu lớn,2025-10-02,19:00,2025-10-02,21:00,Xây dựng backend cho hệ thống phân tích dữ liệu lớn và cung cấp báo cáo chi tiết,https://www.apache.org/
Thực hành: Quản lý phiên bản với Git,2025-10-03,19:00,2025-10-03,21:00,Học cách sử dụng Git để quản lý phiên bản code hiệu quả và hợp tác nhóm,https://git-scm.com/
Thực hành: Tích hợp hệ thống thanh toán với mobile app,2025-10-04,19:00,2025-10-04,21:00,Học cách tích hợp hệ thống thanh toán vào ứng dụng mobile để người dùng thanh toán trực tiếp,https://developer.apple.com/
Dự án thực tế: Xây dựng dịch vụ API cho ứng dụng mobile,2025-10-05,19:00,2025-10-05,21:00,Xây dựng backend API cho ứng dụng mobile với các tính năng quản lý tài khoản người dùng,https://firebase.google.com/
Thực hành: Quản lý lưu trữ dữ liệu trên cloud,2025-10-06,19:00,2025-10-06,21:00,Học cách sử dụng các dịch vụ lưu trữ dữ liệu trên cloud để lưu trữ và quản lý tệp tin,https://cloud.google.com/
Dự án thực tế: Xây dựng hệ thống thông báo push,2025-10-07,19:00,2025-10-07,21:00,Xây dựng hệ thống thông báo push cho ứng dụng để gửi thông báo thời gian thực cho người dùng,https://onesignal.com/
Thực hành: Bảo mật API với JWT và OAuth,2025-10-08,19:00,2025-10-08,21:00,Học cách bảo mật API với JWT và OAuth để đảm bảo chỉ những người dùng xác thực mới có quyền truy cập,https://jwt.io/
Dự án thực tế: Xây dựng dịch vụ chat real-time,2025-10-09,19:00,2025-10-09,21:00,Xây dựng backend cho dịch vụ chat real-time với khả năng truyền tải tin nhắn tức thời,https://www.pusher.com/
Thực hành: Quản lý tài nguyên và dịch vụ trên cloud,2025-10-10,19:00,2025-10-10,21:00,Học cách quản lý tài nguyên và dịch vụ trên các nền tảng cloud để tối ưu chi phí và hiệu quả,https://aws.amazon.com/
Thực hành: Xây dựng hệ thống phân tích dữ liệu theo thời gian thực,2025-10-11,19:00,2025-10-11,21:00,Học cách xây dựng hệ thống phân tích dữ liệu theo thời gian thực sử dụng các công cụ như Kafka và Spark,https://kafka.apache.org/
Dự án thực tế: Tích hợp API bên thứ ba vào ứng dụng,2025-10-12,19:00,2025-10-12,21:00,Xây dựng hệ thống tích hợp API bên thứ ba để cải thiện tính năng ứng dụng,https://www.twilio.com/
Thực hành: Quản lý và tối ưu hóa cơ sở dữ liệu SQL,2025-10-13,19:00,2025-10-13,21:00,Học cách tối ưu hóa truy vấn SQL và quản lý cơ sở dữ liệu SQL để nâng cao hiệu suất,https://www.mysql.com/
Dự án thực tế: Xây dựng hệ thống báo cáo cho doanh nghiệp,2025-10-14,19:00,2025-10-14,21:00,Xây dựng hệ thống báo cáo cho doanh nghiệp để phân tích và đánh giá hiệu quả kinh doanh,https://www.powerbi.com/
Thực hành: Tối ưu hóa API với caching và load balancing,2025-10-15,19:00,2025-10-15,21:00,Học cách sử dụng caching và load balancing để tối ưu hóa hiệu suất của API,https://www.redis.io/
Thực hành: Kiểm thử API với Postman,2025-10-16,19:00,2025-10-16,21:00,Học cách kiểm thử và debug API bằng công cụ Postman,https://www.postman.com/
Dự án thực tế: Phát triển dịch vụ đăng ký và xác thực người dùng,2025-10-17,19:00,2025-10-17,21:00,Xây dựng hệ thống đăng ký và xác thực người dùng cho ứng dụng backend,https://auth0.com/
Thực hành: Xây dựng hệ thống giám sát và logging,2025-10-18,19:00,2025-10-18,21:00,Học cách thiết lập hệ thống giám sát và logging để theo dõi và quản lý hiệu suất ứng dụng,https://www.datadoghq.com/
Dự án thực tế: Tích hợp hệ thống thanh toán vào dịch vụ e-commerce,2025-10-19,19:00,2025-10-19,21:00,Xây dựng hệ thống thanh toán cho dịch vụ thương mại điện tử và tích hợp với các cổng thanh toán,https://www.paypal.com/
Thực hành: Triển khai hệ thống trên nền tảng Kubernetes,2025-10-20,19:00,2025-10-20,21:00,Học cách triển khai và quản lý ứng dụng trên Kubernetes để đảm bảo tính mở rộng và ổn định,https://kubernetes.io/
Dự án thực tế: Tạo hệ thống báo cáo thời gian thực cho dữ liệu lớn,2025-10-21,19:00,2025-10-21,21:00,Xây dựng hệ thống báo cáo thời gian thực cho dữ liệu lớn sử dụng Apache Spark,https://spark.apache.org/
Thực hành: Quản lý và triển khai container Docker,2025-10-22,19:00,2025-10-22,21:00,Học cách sử dụng Docker để đóng gói và triển khai các ứng dụng,https://www.docker.com/
Thực hành: Cài đặt và cấu hình hệ thống CI/CD,2025-10-23,19:00,2025-10-23,21:00,Học cách cài đặt và cấu hình hệ thống CI/CD để tự động hóa quy trình phát triển và triển khai ứng dụng,https://www.jenkins.io/
Dự án thực tế: Xây dựng hệ thống API RESTful cho ứng dụng,2025-10-24,19:00,2025-10-24,21:00,Xây dựng hệ thống API RESTful để tương tác giữa frontend và backend,https://expressjs.com/
Thực hành: Quản lý và triển khai hệ thống cơ sở dữ liệu NoSQL,2025-10-25,19:00,2025-10-25,21:00,Học cách sử dụng và triển khai cơ sở dữ liệu NoSQL cho ứng dụng,https://www.mongodb.com/
Dự án thực tế: Tối ưu hóa hiệu suất ứng dụng web,2025-10-26,19:00,2025-10-26,21:00,Xây dựng các kỹ thuật tối ưu hóa hiệu suất web, bao gồm tối ưu hóa hình ảnh và giảm thiểu mã nguồn,https://www.google.com/web/tools/lighthouse/
Thực hành: Triển khai hệ thống microservices,2025-10-27,19:00,2025-10-27,21:00,Học cách triển khai ứng dụng bằng kiến trúc microservices để dễ dàng mở rộng và bảo trì,https://microservices.io/
Dự án thực tế: Xây dựng hệ thống chat trực tuyến,2025-10-28,19:00,2025-10-28,21:00,Xây dựng hệ thống chat trực tuyến cho ứng dụng với WebSocket,https://socket.io/
Thực hành: Quản lý dịch vụ với AWS,2025-10-29,19:00,2025-10-29,21:00,Học cách quản lý và triển khai dịch vụ trên nền tảng AWS để tối ưu chi phí và hiệu suất,https://aws.amazon.com/
Dự án thực tế: Tạo hệ thống giám sát ứng dụng,2025-10-30,19:00,2025-10-30,21:00,Xây dựng hệ thống giám sát hiệu suất của ứng dụng và cơ sở dữ liệu để phát hiện lỗi và tối ưu hóa,https://www.datadoghq.com/
Thực hành: Triển khai hệ thống bảo mật với OAuth 2.0,2025-10-31,19:00,2025-10-31,21:00,Học cách triển khai hệ thống bảo mật cho ứng dụng web sử dụng OAuth 2.0,https://oauth.net/2/
Dự án thực tế: Xây dựng ứng dụng web với GraphQL,2025-11-01,19:00,2025-11-01,21:00,Xây dựng ứng dụng web với GraphQL để tối ưu hóa việc truy xuất dữ liệu,https://graphql.org/
Thực hành: Tích hợp với hệ thống thanh toán trực tuyến,2025-11-02,19:00,2025-11-02,21:00,Học cách tích hợp hệ thống thanh toán trực tuyến vào ứng dụng như PayPal, Stripe,https://www.paypal.com/
Dự án thực tế: Xây dựng hệ thống phân tích dữ liệu với Python,2025-11-03,19:00,2025-11-03,21:00,Xây dựng hệ thống phân tích dữ liệu bằng Python và các thư viện như Pandas và NumPy,https://pandas.pydata.org/
Thực hành: Triển khai ứng dụng với Cloud Foundry,2025-11-04,19:00,2025-11-04,21:00,Học cách triển khai ứng dụng trên nền tảng Cloud Foundry,https://www.cloudfoundry.org/
Dự án thực tế: Tối ưu hóa cơ sở dữ liệu với indexing,2025-11-05,19:00,2025-11-05,21:00,Học cách tối ưu hóa hiệu suất cơ sở dữ liệu với các kỹ thuật indexing,https://www.sqlshack.com/
Thực hành: Phát triển ứng dụng đa nền tảng với React Native,2025-11-06,19:00,2025-11-06,21:00,Học cách phát triển ứng dụng di động đa nền tảng bằng React Native,https://reactnative.dev/
Dự án thực tế: Xây dựng hệ thống lưu trữ đám mây,2025-11-07,19:00,2025-11-07,21:00,Xây dựng hệ thống lưu trữ đám mây cho dữ liệu lớn với Amazon S3,https://aws.amazon.com/s3/
Thực hành: Sử dụng Docker Compose để quản lý ứng dụng,2025-11-08,19:00,2025-11-08,21:00,Học cách sử dụng Docker Compose để cấu hình và quản lý các ứng dụng multi-container,https://docs.docker.com/compose/
Dự án thực tế: Triển khai hệ thống machine learning,2025-11-09,19:00,2025-11-09,21:00,Xây dựng và triển khai hệ thống học máy với Python và scikit-learn,https://scikit-learn.org/
Thực hành: Tạo API RESTful với Flask,2025-11-10,19:00,2025-11-10,21:00,Học cách xây dựng API RESTful đơn giản bằng Flask,https://flask.palletsprojects.com/
Dự án thực tế: Tạo ứng dụng chatbot với AI,2025-11-11,19:00,2025-11-11,21:00,Xây dựng ứng dụng chatbot tích hợp AI để trả lời câu hỏi của người dùng,https://dialogflow.cloud.google.com/
Thực hành: Sử dụng GitLab CI/CD để tự động hóa quy trình,2025-11-12,19:00,2025-11-12,21:00,Học cách sử dụng GitLab CI/CD để tự động hóa quy trình phát triển phần mềm,https://about.gitlab.com/stages-devops-lifecycle/ci-cd/
Dự án thực tế: Phát triển ứng dụng với microservices,2025-11-13,19:00,2025-11-13,21:00,Học cách phát triển ứng dụng sử dụng kiến trúc microservices,https://microservices.io/
Thực hành: Tối ưu hóa hiệu suất ứng dụng với caching,2025-11-14,19:00,2025-11-14,21:00,Học cách sử dụng caching để cải thiện hiệu suất của ứng dụng web,https://redis.io/
Dự án thực tế: Tạo hệ thống tìm kiếm với Elasticsearch,2025-11-15,19:00,2025-11-15,21:00,Xây dựng hệ thống tìm kiếm và phân tích dữ liệu lớn với Elasticsearch,https://www.elastic.co/elasticsearch/
Thực hành: Phát triển ứng dụng với serverless,2025-11-16,19:00,2025-11-16,21:00,Học cách phát triển và triển khai ứng dụng serverless trên AWS Lambda,https://aws.amazon.com/lambda/
Dự án thực tế: Phát triển ứng dụng e-commerce,2025-11-17,19:00,2025-11-17,21:00,Xây dựng hệ thống e-commerce với đầy đủ tính năng từ thanh toán đến quản lý đơn hàng,https://www.shopify.com/
Thực hành: Xây dựng ứng dụng với Flutter,2025-11-18,19:00,2025-11-18,21:00,Học cách phát triển ứng dụng di động với Flutter,https://flutter.dev/
Dự án thực tế: Triển khai hệ thống phân tích dữ liệu lớn,2025-11-19,19:00,2025-11-19,21:00,Học cách triển khai hệ thống phân tích dữ liệu lớn sử dụng Hadoop và Spark,https://hadoop.apache.org/
Thực hành: Xây dựng hệ thống báo cáo động với Power BI,2025-11-20,19:00,2025-11-20,21:00,Học cách xây dựng hệ thống báo cáo và dashboard động với Power BI,https://powerbi.microsoft.com/
Dự án thực tế: Tạo ứng dụng xã hội với Django,2025-11-21,19:00,2025-11-21,21:00,Xây dựng một ứng dụng mạng xã hội cơ bản với Django,https://www.djangoproject.com/
Thực hành: Tạo và triển khai ứng dụng trên Kubernetes,2025-11-22,19:00,2025-11-22,21:00,Học cách triển khai ứng dụng trên môi trường Kubernetes,https://kubernetes.io/
Dự án thực tế: Phát triển ứng dụng VR/AR,2025-11-23,19:00,2025-11-23,21:00,Xây dựng ứng dụng VR hoặc AR với Unity,https://unity.com/
Thực hành: Kiểm thử tự động với Selenium,2025-11-24,19:00,2025-11-24,21:00,Học cách sử dụng Selenium để kiểm thử tự động cho ứng dụng web,https://www.selenium.dev/
Dự án thực tế: Xây dựng hệ thống thông minh với IoT,2025-11-25,19:00,2025-11-25,21:00,Xây dựng hệ thống IoT tích hợp với các thiết bị thông minh,https://www.ibm.com/internet-of-things
Thực hành: Triển khai hệ thống an ninh mạng,2025-11-26,19:00,2025-11-26,21:00,Học cách triển khai hệ thống bảo mật và bảo vệ mạng,https://www.cisecurity.org/
Dự án thực tế: Phát triển ứng dụng AI với TensorFlow,2025-11-27,19:00,2025-11-27,21:00,Xây dựng và triển khai mô hình học sâu với TensorFlow,https://www.tensorflow.org/
Thực hành: Quản lý dự án phần mềm với Jira,2025-11-28,19:00,2025-11-28,21:00,Học cách quản lý dự án phần mềm và công việc nhóm với Jira,https://www.atlassian.com/software/jira
Dự án thực tế: Triển khai hệ thống phân tích dữ liệu lớn,2025-11-19,19:00,2025-11-19,21:00,Học cách triển khai hệ thống phân tích dữ liệu lớn sử dụng Hadoop và Spark,https://hadoop.apache.org/
Thực hành: Xây dựng hệ thống báo cáo động với Power BI,2025-11-20,19:00,2025-11-20,21:00,Học cách xây dựng hệ thống báo cáo và dashboard động với Power BI,https://powerbi.microsoft.com/
Dự án thực tế: Tạo ứng dụng xã hội với Django,2025-11-21,19:00,2025-11-21,21:00,Xây dựng một ứng dụng mạng xã hội cơ bản với Django,https://www.djangoproject.com/
Thực hành: Tạo và triển khai ứng dụng trên Kubernetes,2025-11-22,19:00,2025-11-22,21:00,Học cách triển khai ứng dụng trên môi trường Kubernetes,https://kubernetes.io/
Dự án thực tế: Phát triển ứng dụng VR/AR,2025-11-23,19:00,2025-11-23,21:00,Xây dựng ứng dụng VR hoặc AR với Unity,https://unity.com/
Thực hành: Kiểm thử tự động với Selenium,2025-11-24,19:00,2025-11-24,21:00,Học cách sử dụng Selenium để kiểm thử tự động cho ứng dụng web,https://www.selenium.dev/
Dự án thực tế: Xây dựng hệ thống thông minh với IoT,2025-11-25,19:00,2025-11-25,21:00,Xây dựng hệ thống IoT tích hợp với các thiết bị thông minh,https://www.ibm.com/internet-of-things
Thực hành: Triển khai hệ thống an ninh mạng,2025-11-26,19:00,2025-11-26,21:00,Học cách triển khai hệ thống bảo mật và bảo vệ mạng,https://www.cisecurity.org/
Dự án thực tế: Phát triển ứng dụng AI với TensorFlow,2025-11-27,19:00,2025-11-27,21:00,Xây dựng và triển khai mô hình học sâu với TensorFlow,https://www.tensorflow.org/
Thực hành: Quản lý dự án phần mềm với Jira,2025-11-28,19:00,2025-11-28,21:00,Học cách quản lý dự án phần mềm và công việc nhóm với Jira,https://www.atlassian.com/software/jira
Dự án thực tế: Phát triển ứng dụng di động với React Native,2025-11-29,19:00,2025-11-29,21:00,Xây dựng ứng dụng di động đa nền tảng với React Native,https://reactnative.dev/
Thực hành: Tối ưu hóa hiệu suất ứng dụng,2025-11-30,19:00,2025-11-30,21:00,Học cách tối ưu hóa hiệu suất ứng dụng web và di động,https://developers.google.com/web/fundamentals/performance
Dự án thực tế: Tạo game 2D với Unity,2025-12-01,19:00,2025-12-01,21:00,Xây dựng game 2D đơn giản với Unity,https://unity.com/learn/tutorials
Thực hành: Triển khai CI/CD với Jenkins,2025-12-02,19:00,2025-12-02,21:00,Học cách triển khai quá trình CI/CD với Jenkins,https://www.jenkins.io/
Dự án thực tế: Phát triển hệ thống chatbot,2025-12-03,19:00,2025-12-03,21:00,Xây dựng và triển khai chatbot với các công cụ AI,https://www.dialogflow.com/
Thực hành: Xử lý dữ liệu lớn với Apache Spark,2025-12-04,19:00,2025-12-04,21:00,Học cách xử lý dữ liệu lớn và phân tích dữ liệu thời gian thực với Apache Spark,https://spark.apache.org/
Dự án thực tế: Phát triển web với Flask,2025-12-05,19:00,2025-12-05,21:00,Xây dựng ứng dụng web với Flask framework,https://flask.palletsprojects.com/
Thực hành: Cải thiện bảo mật ứng dụng với OWASP,2025-12-06,19:00,2025-12-06,21:00,Học cách bảo vệ ứng dụng web khỏi các lỗ hổng bảo mật,https://owasp.org/
Dự án thực tế: Xây dựng hệ thống microservices,2025-12-07,19:00,2025-12-07,21:00,Xây dựng hệ thống ứng dụng microservices sử dụng Docker và Kubernetes,https://microservices.io/
Thực hành: Quản lý cơ sở dữ liệu với MongoDB,2025-12-08,19:00,2025-12-08,21:00,Học cách quản lý cơ sở dữ liệu NoSQL với MongoDB,https://www.mongodb.com/
Dự án thực tế: Tạo website bán hàng với Shopify,2025-12-09,19:00,2025-12-09,21:00,Xây dựng website bán hàng trực tuyến với Shopify,https://www.shopify.com/
Thực hành: Thiết kế API RESTful,2025-12-10,19:00,2025-12-10,21:00,Học cách thiết kế API RESTful cho ứng dụng web,https://restfulapi.net/
Dự án thực tế: Xây dựng ứng dụng di động với Flutter,2025-12-11,19:00,2025-12-11,21:00,Xây dựng ứng dụng di động đa nền tảng với Flutter,https://flutter.dev/
Thực hành: Phân tích và trực quan hóa dữ liệu với Tableau,2025-12-12,19:00,2025-12-12,21:00,Học cách sử dụng Tableau để phân tích và trực quan hóa dữ liệu,https://www.tableau.com/
Dự án thực tế: Phát triển hệ thống quản lý học sinh,2025-12-13,19:00,2025-12-13,21:00,Xây dựng hệ thống quản lý học sinh với tính năng đăng ký, điểm số và quản lý lớp học,https://www.djangoproject.com/
Thực hành: Tối ưu hóa mã nguồn với Code Review,2025-12-14,19:00,2025-12-14,21:00,Học cách tối ưu mã nguồn thông qua quy trình Code Review,https://smartbear.com/solutions/code-review/
Dự án thực tế: Phát triển web với Ruby on Rails,2025-12-15,19:00,2025-12-15,21:00,Xây dựng ứng dụng web với Ruby on Rails,https://rubyonrails.org/
Thực hành: Cải thiện trải nghiệm người dùng với A/B Testing,2025-12-16,19:00,2025-12-16,21:00,Học cách thực hiện A/B Testing để cải thiện trải nghiệm người dùng,https://www.optimizely.com/
Dự án thực tế: Phát triển ứng dụng chat nhóm,2025-12-17,19:00,2025-12-17,21:00,Xây dựng ứng dụng chat nhóm với WebSocket và Node.js,https://socket.io/
Thực hành: Cập nhật và bảo trì ứng dụng,2025-12-18,19:00,2025-12-18,21:00,Học cách bảo trì và cập nhật ứng dụng trong môi trường sản xuất,https://www.atlassian.com/software/jira
Dự án thực tế: Tạo blog cá nhân với Gatsby,2025-12-19,19:00,2025-12-19,21:00,Xây dựng một blog cá nhân tĩnh với Gatsby,https://www.gatsbyjs.com/
Thực hành: Sử dụng Docker trong phát triển ứng dụng,2025-12-20,19:00,2025-12-20,21:00,Học cách sử dụng Docker để triển khai và phát triển ứng dụng,https://www.docker.com/
Dự án thực tế: Tạo website thương mại điện tử với WooCommerce,2025-12-21,19:00,2025-12-21,21:00,Xây dựng một website thương mại điện tử với WooCommerce,https://woocommerce.com/
Thực hành: Xây dựng ứng dụng phản ứng nhanh với PWA,2025-12-22,19:00,2025-12-22,21:00,Học cách xây dựng Progressive Web Apps (PWA),https://developers.google.com/web/progressive-web-apps
Dự án thực tế: Phát triển ứng dụng quản lý khách hàng CRM,2025-12-23,19:00,2025-12-23,21:00,Xây dựng ứng dụng quản lý khách hàng với các tính năng như lưu trữ thông tin và theo dõi lịch sử,https://www.salesforce.com/
Thực hành: Tự động hóa quy trình phát triển với CI/CD,2025-12-24,19:00,2025-12-24,21:00,Học cách thiết lập và sử dụng CI/CD để tự động hóa quy trình phát triển phần mềm,https://www.jenkins.io/
Dự án thực tế: Tạo ứng dụng trò chơi đơn giản với Phaser.js,2025-12-25,19:00,2025-12-25,21:00,Xây dựng một trò chơi đơn giản với Phaser.js,https://phaser.io/
Thực hành: Kiểm thử ứng dụng với Selenium,2025-12-26,19:00,2025-12-26,21:00,Học cách sử dụng Selenium để kiểm thử ứng dụng web,https://www.selenium.dev/
Dự án thực tế: Phát triển dịch vụ chia sẻ hình ảnh,2025-12-27,19:00,2025-12-27,21:00,Xây dựng ứng dụng chia sẻ hình ảnh với tính năng đăng tải và chia sẻ ảnh,https://www.imgur.com/
Thực hành: Tăng tốc ứng dụng web với kỹ thuật Lazy Loading,2025-12-28,19:00,2025-12-28,21:00,Học cách sử dụng Lazy Loading để tối ưu hóa tốc độ tải trang web,https://developer.mozilla.org/en-US/docs/Web/Performance/Lazy_loading
Dự án thực tế: Tạo ứng dụng chat với WebSocket,2025-12-29,19:00,2025-12-29,21:00,Xây dựng ứng dụng chat thời gian thực với WebSocket,https://socket.io/
Thực hành: Tối ưu hóa hiệu suất với Web Workers,2025-12-30,19:00,2025-12-30,21:00,Học cách sử dụng Web Workers để cải thiện hiệu suất ứng dụng,https://developer.mozilla.org/en-US/docs/Web/API/Worker
Dự án thực tế: Phát triển ứng dụng quản lý tác vụ với React,2025-12-31,19:00,2025-12-31,21:00,Xây dựng ứng dụng quản lý tác vụ với React,https://reactjs.org/
Thực hành: Xây dựng API RESTful với Node.js,2026-01-01,19:00,2026-01-01,21:00,Học cách tạo API RESTful với Node.js và Express,https://expressjs.com/
Dự án thực tế: Tạo trang web động với Next.js,2026-01-02,19:00,2026-01-02,21:00,Xây dựng một trang web động sử dụng Next.js,https://nextjs.org/
Thực hành: Triển khai ứng dụng web với Heroku,2026-01-03,19:00,2026-01-03,21:00,Học cách triển khai ứng dụng web lên Heroku,https://www.heroku.com/
Dự án thực tế: Phát triển ứng dụng quản lý dữ liệu lớn với MongoDB,2026-01-04,19:00,2026-01-04,21:00,Xây dựng ứng dụng quản lý dữ liệu lớn với MongoDB,https://www.mongodb.com/
Thực hành: Cải thiện trải nghiệm người dùng với Animation,2026-01-05,19:00,2026-01-05,21:00,Học cách sử dụng animation để cải thiện trải nghiệm người dùng,https://www.smashingmagazine.com/2019/05/ux-animation-website/
Dự án thực tế: Tạo hệ thống đăng ký và xác thực người dùng với Firebase,2026-01-06,19:00,2026-01-06,21:00,Xây dựng hệ thống đăng ký và xác thực người dùng với Firebase,https://firebase.google.com/
Thực hành: Quản lý trạng thái ứng dụng với Redux,2026-01-07,19:00,2026-01-07,21:00,Học cách sử dụng Redux để quản lý trạng thái trong ứng dụng React,https://redux.js.org/
Thực hành: Quản lý dự án với Git và GitHub,2026-01-08,19:00,2026-01-08,21:00,Học cách sử dụng Git và GitHub để quản lý mã nguồn và phối hợp với nhóm,https://git-scm.com/
Dự án thực tế: Tạo ứng dụng quản lý công việc với Angular,2026-01-09,19:00,2026-01-09,21:00,Xây dựng ứng dụng quản lý công việc với Angular,https://angular.io/
Thực hành: Sử dụng GraphQL để thay thế REST API,2026-01-10,19:00,2026-01-10,21:00,Học cách sử dụng GraphQL thay thế REST API trong ứng dụng,https://graphql.org/
Dự án thực tế: Tạo trang web thương mại điện tử với Vue.js,2026-01-11,19:00,2026-01-11,21:00,Xây dựng trang web thương mại điện tử với Vue.js,https://vuejs.org/
Thực hành: Tối ưu hóa SEO cho trang web,2026-01-12,19:00,2026-01-12,21:00,Học cách tối ưu hóa SEO cho trang web,https://moz.com/learn/seo/what-is-seo
Dự án thực tế: Phát triển ứng dụng quản lý ngân sách với Flutter,2026-01-13,19:00,2026-01-13,21:00,Xây dựng ứng dụng quản lý ngân sách với Flutter,https://flutter.dev/
Thực hành: Kiểm thử và bảo trì ứng dụng,2026-01-14,19:00,2026-01-14,21:00,Học cách kiểm thử và bảo trì ứng dụng web,https://jestjs.io/
Dự án thực tế: Tạo ứng dụng ghi chú với Swift,2026-01-15,19:00,2026-01-15,21:00,Xây dựng ứng dụng ghi chú trên iOS với Swift,https://developer.apple.com/swift/
Thực hành: Xử lý lỗi và debugging trong ứng dụng,2026-01-16,19:00,2026-01-16,21:00,Học cách xử lý lỗi và debugging trong ứng dụng,https://www.jetbrains.com/help/idea/debug-application.html
Dự án thực tế: Tạo game đơn giản với Unity,2026-01-17,19:00,2026-01-17,21:00,Xây dựng game đơn giản sử dụng Unity,https://unity.com/Thực hành: Phát triển ứng dụng di động với React Native,2026-01-18,19:00,2026-01-18,21:00,Xây dựng ứng dụng di động sử dụng React Native,https://reactnative.dev/
Dự án thực tế: Tạo trang web tin tức với Next.js,2026-01-19,19:00,2026-01-19,21:00,Xây dựng trang web tin tức với Next.js,https://nextjs.org/
Thực hành: Tối ưu hóa hiệu suất trang web,2026-01-20,19:00,2026-01-20,21:00,Học cách tối ưu hóa hiệu suất trang web,https://web.dev/performance-scoring/
Dự án thực tế: Tạo ứng dụng chat với Node.js và Socket.io,2026-01-21,19:00,2026-01-21,21:00,Xây dựng ứng dụng chat sử dụng Node.js và Socket.io,https://socket.io/
Thực hành: Phát triển ứng dụng với kiến trúc microservices,2026-01-22,19:00,2026-01-22,21:00,Học về kiến trúc microservices trong phát triển phần mềm,https://microservices.io/
Dự án thực tế: Tạo ứng dụng ghi chú đồng bộ với Firebase,2026-01-23,19:00,2026-01-23,21:00,Xây dựng ứng dụng ghi chú đồng bộ sử dụng Firebase,https://firebase.google.com/
Thực hành: Quản lý dự án với Agile và Scrum,2026-01-24,19:00,2026-01-24,21:00,Học cách quản lý dự án phần mềm sử dụng phương pháp Agile và Scrum,https://www.scrum.org/
Dự án thực tế: Tạo trang web blog cá nhân với Jekyll,2026-01-25,19:00,2026-01-25,21:00,Xây dựng trang web blog cá nhân với Jekyll,https://jekyllrb.com/
Thực hành: Phát triển ứng dụng với Docker,2026-01-26,19:00,2026-01-26,21:00,Học cách sử dụng Docker trong phát triển ứng dụng,https://www.docker.com/
Dự án thực tế: Tạo ứng dụng đơn giản với Kotlin,2026-01-27,19:00,2026-01-27,21:00,Xây dựng ứng dụng đơn giản với Kotlin,https://kotlinlang.org/
Thực hành: Phát triển ứng dụng di động với Flutter,2026-01-28,19:00,2026-01-28,21:00,Xây dựng ứng dụng di động với Flutter,https://flutter.dev/
Dự án thực tế: Tạo ứng dụng nhắn tin với React Native,2026-01-29,19:00,2026-01-29,21:00,Xây dựng ứng dụng nhắn tin với React Native,https://reactnative.dev/
